"schema_name","table_name","index_name","index_definition"
"pg_catalog","pg_largeobject","pg_largeobject_loid_pn_index","CREATE UNIQUE INDEX pg_largeobject_loid_pn_index ON pg_catalog.pg_largeobject USING btree (loid, pageno)"
"pg_catalog","pg_largeobject_metadata","pg_largeobject_metadata_oid_index","CREATE UNIQUE INDEX pg_largeobject_metadata_oid_index ON pg_catalog.pg_largeobject_metadata USING btree (oid)"
"pg_catalog","pg_namespace","pg_namespace_nspname_index","CREATE UNIQUE INDEX pg_namespace_nspname_index ON pg_catalog.pg_namespace USING btree (nspname)"
"pg_catalog","pg_namespace","pg_namespace_oid_index","CREATE UNIQUE INDEX pg_namespace_oid_index ON pg_catalog.pg_namespace USING btree (oid)"
"pg_catalog","pg_opclass","pg_opclass_am_name_nsp_index","CREATE UNIQUE INDEX pg_opclass_am_name_nsp_index ON pg_catalog.pg_opclass USING btree (opcmethod, opcname, opcnamespace)"
"pg_catalog","pg_opclass","pg_opclass_oid_index","CREATE UNIQUE INDEX pg_opclass_oid_index ON pg_catalog.pg_opclass USING btree (oid)"
"pg_catalog","pg_operator","pg_operator_oid_index","CREATE UNIQUE INDEX pg_operator_oid_index ON pg_catalog.pg_operator USING btree (oid)"
"pg_catalog","pg_operator","pg_operator_oprname_l_r_n_index","CREATE UNIQUE INDEX pg_operator_oprname_l_r_n_index ON pg_catalog.pg_operator USING btree (oprname, oprleft, oprright, oprnamespace)"
"pg_catalog","pg_opfamily","pg_opfamily_am_name_nsp_index","CREATE UNIQUE INDEX pg_opfamily_am_name_nsp_index ON pg_catalog.pg_opfamily USING btree (opfmethod, opfname, opfnamespace)"
"pg_catalog","pg_opfamily","pg_opfamily_oid_index","CREATE UNIQUE INDEX pg_opfamily_oid_index ON pg_catalog.pg_opfamily USING btree (oid)"
"pg_catalog","pg_parameter_acl","pg_parameter_acl_oid_index","CREATE UNIQUE INDEX pg_parameter_acl_oid_index ON pg_catalog.pg_parameter_acl USING btree (oid)"
"pg_catalog","pg_parameter_acl","pg_parameter_acl_parname_index","CREATE UNIQUE INDEX pg_parameter_acl_parname_index ON pg_catalog.pg_parameter_acl USING btree (parname)"
"pg_catalog","pg_partitioned_table","pg_partitioned_table_partrelid_index","CREATE UNIQUE INDEX pg_partitioned_table_partrelid_index ON pg_catalog.pg_partitioned_table USING btree (partrelid)"
"pg_catalog","pg_policy","pg_policy_oid_index","CREATE UNIQUE INDEX pg_policy_oid_index ON pg_catalog.pg_policy USING btree (oid)"
"pg_catalog","pg_policy","pg_policy_polrelid_polname_index","CREATE UNIQUE INDEX pg_policy_polrelid_polname_index ON pg_catalog.pg_policy USING btree (polrelid, polname)"
"pg_catalog","pg_proc","pg_proc_oid_index","CREATE UNIQUE INDEX pg_proc_oid_index ON pg_catalog.pg_proc USING btree (oid)"
"pg_catalog","pg_proc","pg_proc_proname_args_nsp_index","CREATE UNIQUE INDEX pg_proc_proname_args_nsp_index ON pg_catalog.pg_proc USING btree (proname, proargtypes, pronamespace)"
"pg_catalog","pg_publication","pg_publication_oid_index","CREATE UNIQUE INDEX pg_publication_oid_index ON pg_catalog.pg_publication USING btree (oid)"
